date,name,team,average,strike_rate,economy,wickets
01-11-2023,MJ Santner,New Zealand,25.3,34.77777778,4.88088013,0
01-11-2023,GD Phillips,New Zealand,10.38888889,11.94444444,5.161988304,0
01-11-2023,R Ravindra,New Zealand,54.25,52.875,6.038081045,0
01-11-2023,JDS Neesham,New Zealand,16,6,11.81818182,1
01-11-2023,M Jansen,South Africa,23.69444444,24.02777778,5.896341647,3
01-11-2023,L Ngidi,South Africa,32.4,39,5.077690684,0
01-11-2023,K Rabada,South Africa,25.36666667,27.53333333,5.374906606,1
01-11-2023,G Coetzee,South Africa,27.33333333,23.76666667,7.071729387,2
01-11-2023,KA Maharaj,South Africa,28.6,37.8,5.999201872,4
02-11-2023,D Madushanka,Sri Lanka,23.93055556,23.96527778,5.933498453,5
02-11-2023,PVD Chameera,Sri Lanka,0,0,5.464285714,1
02-11-2023,CAK Rajitha,Sri Lanka,42.375,40.125,5.868717179,2
